BBL,Year,Zip,count,Zop
1002147503,13,10013,1,10013
1002147503,19,10013,1,10013
1002147505,14,10013,2,10013
1002147505,16,10013,1,10013
1002160001,19,10013,4,10013
1002170014,12,10013,1,10013
1002177503,18,10013,1,10013
1002180002,21,10013,2,10013
1002180009,21,10013,1,10013
1002180011,18,10013,1,10013
1002180011,20,10013,1,10013
1002187504,21,10013,1,10013
1002197502,20,10013,1,10013
1002207502,20,10013,5,10013
1002207503,13,10013,1,10013
1002207503,19,10013,1,10013
1002207503,20,10013,1,10013
1002207505,20,10013,1,10013
1002220022,14,10013,1,10013
1002220022,20,10013,1,10013
1002230013,21,10013,1,10013
1002230021,21,10013,1,10013
1002230025,15,10013,1,10013
1002230025,21,10013,2,10013
1002230026,16,10013,1,10013
1002230026,21,10013,1,10013
1002230027,20,10013,1,10013
1002230028,19,10013,1,10013
1002230028,21,10013,1,10013
1002240024,10,10013,1,10013
1002240024,19,10013,6,10013
1002240027,10,10013,1,10013
1002240032,19,10013,2,10013
1002240032,21,10013,2,10013
1002257502,14,10013,1,10013
1002270052,11,10013,1,10013
1002270052,17,10013,1,10013
1002270055,21,10013,1,10013
1002280004,15,10013,1,10013
1002280010,21,10013,1,10013
1002280011,21,10013,1,10013
1002280020,12,10013,1,10013
1002287503,17,10013,1,10013
1002290001,18,10013,1,10013
1002290001,19,10013,1,10013
1002290006,16,10013,1,10013
1002290022,18,10013,1,10013
1002290029,21,10013,1,10013
1002290032,18,10013,1,10013
1002290032,20,10013,1,10013
1002300014,18,10013,1,10013
1002300042,18,10013,4,10013
1002307507,20,10013,1,10013
1002310008,15,10013,1,10013
1002310036,10,10013,2,10013
1002310036,11,10013,2,10013
1002320009,13,10013,1,10013
1002320009,19,10013,1,10013
1002320012,16,10013,1,10013
1002330013,18,10013,1,10013
1002330014,11,10013,1,10013
1002330014,18,10013,2,10013
1002330015,20,10013,2,10013
1002330017,21,10013,7,10013
1002340001,10,10013,1,10013
1002340001,12,10013,1,10013
1002340001,13,10013,2,10013
1002340001,18,10013,1,10013
1002340009,21,10013,1,10013
1002340015,18,10013,1,10013
1002340017,12,10013,1,10013
1002350004,21,10013,1,10013
1002350006,21,10013,1,10013
1002350016,14,10013,1,10013
1002357501,21,10013,1,10013
1002360021,10,10013,1,10013
1002360021,19,10013,1,10013
1002360024,19,10013,1,10013
1002360033,11,10013,2,10013
1002360033,14,10013,6,10013
1002360033,17,10013,1,10013
1002360038,21,10013,1,10013
1002367501,11,10013,1,10013
1002367501,17,10013,1,10013
1002370007,17,10013,1,10013
1002370017,16,10013,1,10013
1002370022,14,10013,1,10013
1002370027,12,10013,1,10013
1002370027,15,10013,1,10013
1002370027,17,10013,1,10013
1002370028,12,10013,1,10013
1002370033,16,10013,1,10013
1002370036,21,10013,1,10013
1002380036,16,10013,7,10013
1002380036,17,10013,2,10013
1002380037,17,10013,1,10013
1002390011,13,10013,1,10013
1002390012,16,10013,1,10013
1002430050,17,10002,3,10002
1002430056,15,10002,1,10002
1002430056,16,10002,2,10002
1002430056,21,10002,1,10002
1002430080,20,10002,1,10002
1002440019,15,10002,1,10002
1002440040,18,10002,1,10002
1002450001,14,10002,2,10002
1002450001,21,10002,1,10002
1002460001,19,10002,1,10002
1002467501,15,10002,1,10002
1002470001,20,10002,4,10002
1002470001,21,10002,8,10002
1002480001,15,10002,1,10002
1002480015,12,10002,1,10002
1002480015,15,10002,1,10002
1002480015,20,10002,1,10002
1002480076,12,10002,1,10002
1002480076,21,10002,1,10002
1002487501,20,10002,2,10002
1002530001,10,10002,1,10002
1002530001,13,10038,1,10038
1002530001,18,10002,3,10002
1002530001,19,10002,3,10002
1002530001,20,10002,10,10002
1002540001,19,10002,1,10002
1002540051,20,10002,1,10002
1002550001,17,10002,2,10002
1002550001,18,10002,1,10002
1002560001,14,10002,4,10002
1002560001,15,10002,9,10002
1002560001,16,10002,2,10002
1002560001,17,10002,1,10002
1002560001,21,10002,3,10002
1002560014,21,10002,1,10002
1002580001,15,10002,10,10002
1002580001,17,10002,1,10002
1002580001,18,10002,2,10002
1002580001,19,10002,2,10002
1002580001,21,10002,1,10002
1002590001,15,10002,2,10002
1002590044,21,10002,1,10002
1002590071,11,10002,1,10002
1002590071,13,10002,1,10002
1002590071,14,10002,1,10002
1002590071,15,10002,1,10002
1002590071,17,10002,1,10002
1002600001,16,10002,3,10002
1002600001,17,10002,1,10002
1002600001,18,10002,6,10002
1002600001,20,10002,5,10002
1002600001,21,10002,7,10002
1002600075,12,10002,1,10002
1002600075,18,10002,1,10002
1002600075,20,10002,1,10002
1002600075,21,10002,2,10002
1002630001,13,10002,1,10002
1002630001,16,10002,1,10002
1002630001,17,10002,3,10002
1002630001,18,10002,1,10002
1002630008,12,10002,1,10002
1002630008,15,10002,2,10002
1002630008,17,10002,1,10002
1002630008,18,10002,3,10002
1002630008,21,10002,5,10002
1002660065,15,10002,1,10002
1002660065,19,10002,1,10002
1002670001,12,10002,1,10002
1002670001,20,10002,1,10002
1002670019,17,10002,2,10002
1002670024,18,10002,1,10002
1002710039,19,10002,1,10002
1002710042,15,10002,1,10002
1002710042,18,10002,1,10002
1002710044,10,10002,1,10002
