"Year","Borough","Neighborhood","Total","Humans","sq_meter","human_rat_ratio","rats_per_sqft"
13,"BRONX","HUNTS POINT AND MOTT HAVEN",37252.17392,137161,10631050,0.27159450514359,0.00350409168614577
14,"BRONX","HUNTS POINT AND MOTT HAVEN",38911.29032,139194,10631050,0.279547181056655,0.00366015495364992
15,"BRONX","HUNTS POINT AND MOTT HAVEN",38866.66667,141085,10631050,0.275484046284155,0.00365595747080486
16,"BRONX","HUNTS POINT AND MOTT HAVEN",49984.61538,142482,10631050,0.350813544026614,0.00470175715286825
17,"BRONX","HUNTS POINT AND MOTT HAVEN",46375.51021,142715,10631050,0.324951898609116,0.00436226997427347
18,"BRONX","HUNTS POINT AND MOTT HAVEN",45643.13725,140964,10631050,0.323792863780823,0.00429337998128125
19,"BRONX","HUNTS POINT AND MOTT HAVEN",50724.32432,140122,10631050,0.362001144145816,0.00477133719811307
20,"BRONX","HUNTS POINT AND MOTT HAVEN",46297.67442,138077,10631050,0.335303304822671,0.0043549484218398
11,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",51864.03509,264239,8847482,0.196276988218999,0.00586201080601238
12,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",55250,263281,8847482,0.209851831313312,0.0062447145978935
13,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",48374.63768,263511,8847482,0.183577299163982,0.00546761639978471
14,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",55770.96774,266451,8847482,0.209310408818132,0.00630359776261766
15,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",52216.21621,269556,8847482,0.193711941897046,0.00590181660838643
16,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",52772.72728,272339,8847482,0.193775872276831,0.00596471711160305
17,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",52602.73973,276566,8847482,0.190199589718187,0.00594550401232803
18,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",58900,271606,8847482,0.216858243190504,0.00665726135413443
19,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",56274.50981,268348,8847482,0.209707207842056,0.00636051136470241
20,"MANHATTAN","INWOOD AND WASHINGTON HEIGHTS",59733.33334,265585,8847482,0.224912300544082,0.00675145011202057
11,"QUEENS","JAMAICA",115172.7273,285295,31856030,0.403696970854729,0.00361541370032612
12,"QUEENS","JAMAICA",116577.5,289098,31856030,0.403245612214543,0.00365951124480985
13,"QUEENS","JAMAICA",123088.2353,297296,31856030,0.414025870849255,0.00386389124131287
14,"QUEENS","JAMAICA",132646.6667,308452,31856030,0.430039898266181,0.00416394217044622
15,"QUEENS","JAMAICA",89178.57142,308098,31856030,0.289448718979026,0.00279942514556899
16,"QUEENS","JAMAICA",125290,313056,31856030,0.400215935807012,0.00393300734586199
17,"QUEENS","JAMAICA",159489.4737,319201,31856030,0.499652174335293,0.00500657092864365
18,"QUEENS","JAMAICA",129493.1818,312564,31856030,0.414293334485097,0.00406495039714616
19,"QUEENS","JAMAICA",129431.5789,312357,31856030,0.414370668497905,0.00406301660627517
20,"QUEENS","JAMAICA",94819.56522,309667,31856030,0.306198481659331,0.00297650288563892
11,"BRONX","KINGSBRIDGE AND RIVERDALE",11243.92265,90567,10432580,0.124150326829861,0.00107777008659411
12,"BRONX","KINGSBRIDGE AND RIVERDALE",15670.67988,91163,10432580,0.171897369327468,0.00150209055478127
13,"BRONX","KINGSBRIDGE AND RIVERDALE",14286.92308,92450,10432580,0.154536755868037,0.0013694525304383
14,"BRONX","KINGSBRIDGE AND RIVERDALE",20279.23567,93173,10432580,0.217651419080635,0.00194383706331511
15,"BRONX","KINGSBRIDGE AND RIVERDALE",20831.95531,93708,10432580,0.222307116895036,0.00199681721204151
16,"BRONX","KINGSBRIDGE AND RIVERDALE",25593.34027,93258,10432580,0.274435868987111,0.00245321294157342
17,"BRONX","KINGSBRIDGE AND RIVERDALE",22786.57449,94903,10432580,0.240103837497234,0.00218417443144457
18,"BRONX","KINGSBRIDGE AND RIVERDALE",23935.79439,93256,10432580,0.256667607338938,0.0022943312574646
19,"BRONX","KINGSBRIDGE AND RIVERDALE",24667.72388,93554,10432580,0.263673641747012,0.00236448930945174
20,"BRONX","KINGSBRIDGE AND RIVERDALE",23641.31599,92813,10432580,0.254719877495609,0.00226610445258987
11,"MANHATTAN","LOWER EAST SIDE",50952.94117,198860,5367650,0.25622518942975,0.00949259753709724
12,"MANHATTAN","LOWER EAST SIDE",52511.76471,199334,5367650,0.26343606564861,0.00978300833884475
13,"MANHATTAN","LOWER EAST SIDE",51100.00001,202311,5367650,0.252581421722002,0.00951999478542752
14,"MANHATTAN","LOWER EAST SIDE",54347.61905,198768,5367650,0.273422377092892,0.0101250303298464
15,"MANHATTAN","LOWER EAST SIDE",50124.13793,198713,5367650,0.252243879011439,0.00933819044274496
16,"MANHATTAN","LOWER EAST SIDE",45859.25926,194662,5367650,0.235584034172052,0.00854363813959554
17,"MANHATTAN","LOWER EAST SIDE",48851.92307,193101,5367650,0.252986380546968,0.00910117520143825
18,"MANHATTAN","LOWER EAST SIDE",39013.33333,187600,5367650,0.207960198987207,0.00726823345970769
19,"MANHATTAN","LOWER EAST SIDE",42788.46154,186749,5367650,0.229122841568094,0.00797154463126322
20,"MANHATTAN","LOWER EAST SIDE",77736.84211,187301,5367650,0.415036983838848,0.0144824722383166
11,"MANHATTAN","LOWER MANHATTAN",9514.088398,43424,3430705,0.219097466792557,0.00277321669977454
12,"MANHATTAN","LOWER MANHATTAN",12536.54391,45040,3430705,0.278342449156306,0.00365421798435016
13,"MANHATTAN","LOWER MANHATTAN",12122.23776,47428,3430705,0.255592429788311,0.00353345384112012
14,"MANHATTAN","LOWER MANHATTAN",10139.61783,50106,3430705,0.202363346305832,0.00295554932003772
15,"MANHATTAN","LOWER MANHATTAN",10816.59218,52354,3430705,0.206604885586584,0.00315287737651591
16,"MANHATTAN","LOWER MANHATTAN",14796.14984,53916,3430705,0.274429665405445,0.0043128598465913
17,"MANHATTAN","LOWER MANHATTAN",7844.55843,54562,3430705,0.143773293317694,0.00228657329324439
18,"MANHATTAN","LOWER MANHATTAN",11967.8972,54520,3430705,0.219513888481291,0.00348846584011158
19,"MANHATTAN","LOWER MANHATTAN",15469.58955,55343,3430705,0.27952206331424,0.00450915760754714
20,"MANHATTAN","LOWER MANHATTAN",12559.44912,56377,3430705,0.22277611650141,0.00366089451585024
11,"STATEN ISLAND","MID ISLAND",20758.01105,87662,35520700,0.23679600111793,0.000584391947512296
12,"STATEN ISLAND","MID ISLAND",25073.08782,87921,35520700,0.285177464087078,0.000705872570641907
13,"STATEN ISLAND","MID ISLAND",21646.85315,87276,35520700,0.248027557976993,0.00060941516214489
14,"STATEN ISLAND","MID ISLAND",23659.10828,87524,35520700,0.270315665188977,0.000666065372585563
15,"STATEN ISLAND","MID ISLAND",18428.26816,87600,35520700,0.210368357990868,0.000518803631685186
16,"STATEN ISLAND","MID ISLAND",12396.77419,88780,35520700,0.139634762221221,0.000349001404533131
17,"STATEN ISLAND","MID ISLAND",22413.02409,89960,35520700,0.24914433181414,0.000630984864881604
18,"STATEN ISLAND","MID ISLAND",19583.83178,90761,35520700,0.215773644847457,0.000551335750140059
19,"STATEN ISLAND","MID ISLAND",22159.14179,89792,35520700,0.246783029557199,0.000623837418463037
20,"STATEN ISLAND","MID ISLAND",19577.9648,89938,35520700,0.217682901554404,0.000551170579408627
11,"QUEENS","NORTH QUEENS",20325.55249,257413,30809688,0.0789608624661536,0.000659713025656086
12,"QUEENS","NORTH QUEENS",22834.41926,262964,30809688,0.0868347730487823,0.000741144125185558
13,"QUEENS","NORTH QUEENS",18616.29371,261570,30809688,0.0711713641090339,0.000604235061062611
14,"QUEENS","NORTH QUEENS",20279.23567,262170,30809688,0.0773514729755502,0.000658209705661414
15,"QUEENS","NORTH QUEENS",18428.26816,261157,30809688,0.0705639449067036,0.00059813225502316
