"BBL","Borough","Zip","Month","Year","count","Neighborhood"
3015510033,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3015510038,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3015510038,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3015510046,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015510073,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015530003,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015540065,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015560035,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015570002,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015570004,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3015590016,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3015630001,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3015640012,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3015650004,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3015650004,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3015650022,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3015680021,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3015680023,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3015700019,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016540054,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016600036,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3016600038,"BROOKLYN",11233,"06","2010",2,"CENTRAL BROOKLYN"
3016600038,"BROOKLYN",11233,"07","2010",2,"CENTRAL BROOKLYN"
3016600038,"BROOKLYN",11233,"09","2010",2,"CENTRAL BROOKLYN"
3016600038,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3016600041,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3016600041,"BROOKLYN",11233,"09","2010",2,"CENTRAL BROOKLYN"
3016600042,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3016610001,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3016610001,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3016610009,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3016620037,"BROOKLYN",11233,"10","2010",1,"CENTRAL BROOKLYN"
3016620037,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3016630053,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
3016640004,"BROOKLYN",11216,"11","2010",1,"CENTRAL BROOKLYN"
3016640004,"BROOKLYN",11216,"12","2010",1,"CENTRAL BROOKLYN"
3016640013,"BROOKLYN",11233,"09","2010",1,"CENTRAL BROOKLYN"
3016660043,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016660050,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3016660052,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3016670024,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3016670072,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3016720006,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3016720009,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
3016720011,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3016720011,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
3016720018,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016720019,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3016720019,"BROOKLYN",11233,"04","2010",1,"CENTRAL BROOKLYN"
3016720045,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016720080,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016720082,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3016720083,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3016750029,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
3016760051,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016770047,"BROOKLYN",11233,"02","2010",1,"CENTRAL BROOKLYN"
3016790018,"BROOKLYN",11233,"12","2010",1,"CENTRAL BROOKLYN"
3016790020,"BROOKLYN",11233,"01","2010",1,"CENTRAL BROOKLYN"
3016800028,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3016800028,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016800040,"BROOKLYN",11233,"05","2010",1,"CENTRAL BROOKLYN"
3016820001,"BROOKLYN",11233,"07","2010",1,"CENTRAL BROOKLYN"
3016820010,"BROOKLYN",11233,"08","2010",1,"CENTRAL BROOKLYN"
3016820058,"BROOKLYN",11233,"11","2010",1,"CENTRAL BROOKLYN"
3016870046,"BROOKLYN",11233,"11","2010",2,"CENTRAL BROOKLYN"
3016950030,"BROOKLYN",11233,"03","2010",1,"CENTRAL BROOKLYN"
3016950030,"BROOKLYN",11233,"06","2010",1,"CENTRAL BROOKLYN"
